
 
"
08"
". @ABlinken: On #Iran - ""would provide extensive levels of transparency that if #Iran fails to comply, intl comm will know about it."" #GloFo","http://web.archive.org/*/http://twitter.com/statedeptspox/status/607952312213061632"
".@ABlinken traveling to #Japan, #Burma, the Republic of #Korea &amp; #China to discuss a range of regional and global issues.","http://web.archive.org/*/https://twitter.com/statedeptspox/status/687673042198261760"
".@ABlinken traveling to #Japan, #Burma, the Republic of #Korea &amp; #China to discuss a range of regional and global issues.","http://web.archive.org/*/http://twitter.com/statedeptspox/status/687673042198261760"
".@ABlinken will travel to Asia-Pacific region next week. US committed to defending American people &amp; honoring regional security commitments.","http://web.archive.org/*/https://twitter.com/statedeptspox/status/684870452846579712"
".@ABlinken will travel to Asia-Pacific region next week. US committed to defending American people &amp; honoring regional security commitments.","http://web.archive.org/*/http://twitter.com/statedeptspox/status/684870452846579712"
"About to join @foxandfriends now.","http://web.archive.org/*/https://twitter.com/statedeptspox/status/687621642529423360"
"About to join @foxandfriends now.","http://web.archive.org/*/http://twitter.com/statedeptspox/status/687621642529423360"
"About to join @mitchellreports to discuss Iran.","http://web.archive.org/*/https://twitter.com/statedeptspox/status/689497792759238656"
"About to join @mitchellreports to discuss Iran.","http://web.archive.org/*/http://twitter.com/statedeptspox/status/689497792759238656"
"Absolutely ZERO truth to rumors that @JohnKerry apologized to Iran over Sailors. Nothing to apologize for.","http://web.archive.org/*/https://twitter.com/statedeptspox/status/687292070525022208"
"Absolutely ZERO truth to rumors that @JohnKerry apologized to Iran over Sailors. Nothing to apologize for.","http://web.archive.org/*/http://twitter.com/statedeptspox/status/687292070525022208"
"According to @UNHumanRights report, Maduro’s Special Action Forces killed 5287 people in 2018 &amp; 1569 by May 2019. T… https://t.co/VUjimsbQUv","http://web.archive.org/*/https://twitter.com/statedeptspox/status/1147293203055312897"
"According to @UNHumanRights report, Maduro’s Special Action Forces killed 5287 people in 2018 &amp; 1569 by May 2019. T… https://t.co/VUjimsbQUv","http://web.archive.org/*/http://twitter.com/statedeptspox/status/1147293203055312897"
"Acting A/S Philip Reeker met with the OSCE Minsk Group Co-Chairs Wednesday to discuss resolution of the Nagorno-Kar… https://t.co/jz9NBgo9Ey","http://web.archive.org/*/https://twitter.com/statedeptspox/status/1141824720008024066"
"Acting A/S Philip Reeker met with the OSCE Minsk Group Co-Chairs Wednesday to discuss resolution of the Nagorno-Kar… https://t.co/jz9NBgo9Ey","http://web.archive.org/*/http://twitter.com/statedeptspox/status/1141824720008024066"
"Acting Assistant Secretary David M. Satterfield and Special Presidential Envoy @brett_mcgurk discuss the status of… https://t.co/XTbd2JA7EI","http://web.archive.org/*/https://twitter.com/statedeptspox/status/1030542108090920960"
"Acting Assistant Secretary David M. Satterfield and Special Presidential Envoy @brett_mcgurk discuss the status of… https://t.co/XTbd2JA7EI","http://web.archive.org/*/http://twitter.com/statedeptspox/status/1030542108090920960"
"Acting Assistant Secretary David M. Satterfield: There should be no doubt as to the position of the @POTUS with res… https://t.co/Mb4zE2noSk","http://web.archive.org/*/https://twitter.com/statedeptspox/status/1030542255994679296"
"Acting Assistant Secretary David M. Satterfield: There should be no doubt as to the position of the @POTUS with res… https://t.co/Mb4zE2noSk","http://web.archive.org/*/http://twitter.com/statedeptspox/status/1030542255994679296"
"Acting Secretary John Sullivan and Chinese Ambassador Cui Tiankai agreed on the importance of a constructive US-… https://t.co/ryQxa1Iu0U","http://web.archive.org/*/https://twitter.com/statedeptspox/status/981682323744788482"
"Acting Secretary John Sullivan and Chinese Ambassador Cui Tiankai agreed on the importance of a constructive US-… https://t.co/ryQxa1Iu0U","http://web.archive.org/*/http://twitter.com/statedeptspox/status/981682323744788482"
"Acting Secretary John Sullivan spoke with @BorisJohnson twice today to discuss the alleged chemical weapon attack i… https://t.co/trYmWcIxzZ","http://web.archive.org/*/https://twitter.com/statedeptspox/status/983476830647783424"
"Acting Secretary John Sullivan spoke with @BorisJohnson twice today to discuss the alleged chemical weapon attack i… https://t.co/trYmWcIxzZ","http://web.archive.org/*/http://twitter.com/statedeptspox/status/983476830647783424"
"Acting Secretary of @StateDept Sullivan pleased to support @cafreeland's #G7 session on advancing equality and… https://t.co/bHt8nFsgoG","http://web.archive.org/*/https://twitter.com/statedeptspox/status/988110275512537088"
"Acting Secretary of @StateDept Sullivan pleased to support @cafreeland's #G7 session on advancing equality and… https://t.co/bHt8nFsgoG","http://web.archive.org/*/http://twitter.com/statedeptspox/status/988110275512537088"
"Acting Secretary of State John J. Sullivan met with UK Foreign Secretary @BorisJohnson today on the margins of the… https://t.co/H9Vzy7rPrh","http://web.archive.org/*/https://twitter.com/statedeptspox/status/988207157949681664"
"Acting Secretary of State John J. Sullivan met with UK Foreign Secretary @BorisJohnson today on the margins of the… https://t.co/H9Vzy7rPrh","http://web.archive.org/*/http://twitter.com/statedeptspox/status/988207157949681664"
"Acting Secretary Sullivan administered the oath of office to the newest civil service class of @StateDept today, re… https://t.co/ckEABo1wk2","http://web.archive.org/*/https://twitter.com/statedeptspox/status/982289701896794112"
"Acting Secretary Sullivan administered the oath of office to the newest civil service class of @StateDept today, re… https://t.co/ckEABo1wk2","http://web.archive.org/*/http://twitter.com/statedeptspox/status/982289701896794112"
"Acting Secretary Sullivan and Foreign Minister Klimkin called on #Russia to finally fulfill its commitments under t… https://t.co/hgTh02yrNG","http://web.archive.org/*/https://twitter.com/statedeptspox/status/987882657739689985"
"Acting Secretary Sullivan and Foreign Minister Klimkin called on #Russia to finally fulfill its commitments under t… https://t.co/hgTh02yrNG","http://web.archive.org/*/http://twitter.com/statedeptspox/status/987882657739689985"
"Acting Secretary Sullivan and Foreign Secretary Johnson agreed to continue working to end the Syrian regime’s use of chemical weapons.","http://web.archive.org/*/https://twitter.com/statedeptspox/status/988207161393188866"
"Acting Secretary Sullivan and Foreign Secretary Johnson agreed to continue working to end the Syrian regime’s use of chemical weapons.","http://web.archive.org/*/http://twitter.com/statedeptspox/status/988207161393188866"
"Acting Secretary Sullivan and @USAIDMarkGreen applauded #Venezuela civil society’s courageous defense of… https://t.co/14yBNFkSLF","http://web.archive.org/*/https://twitter.com/statedeptspox/status/984558570514583552"
"Acting Secretary Sullivan and @USAIDMarkGreen applauded #Venezuela civil society’s courageous defense of… https://t.co/14yBNFkSLF","http://web.archive.org/*/http://twitter.com/statedeptspox/status/984558570514583552"
"Acting Secretary Sullivan’s travel to the #G7 Foreign Ministers’ Meeting is an opportunity to exchange views and co… https://t.co/CImmjlwxe8","http://web.archive.org/*/https://twitter.com/statedeptspox/status/987149862822137856"
